[INFO   | transformer           | L29] 2024-12-14T23:54:34+0000: Wrote ['BF2_BFBD Furnace Body 12975mm Temp A', 'BF2_BFBD Furnace Body 12975mm Temp B', 'BF2_BFBD Furnace Body 12975mm Temp C', 'BF2_BFBD Furnace Body 12975mm Temp D', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp B', 'BF2_BFBD Furnace Body 15162mm Temp C', 'BF2_BFBD Furnace Body 15162mm Temp D', 'BF2_BFBD Furnace Body 18660mm Temp A', 'BF2_BFBD Furnace Body 18660mm Temp B', 'BF2_BFBD Furnace Body 18660mm Temp C', 'BF2_BFBD Furnace Body 18660mm Temp D', 'BF2_BFBD Furnace Body 4373mm Temp A', 'BF2_BFBD Furnace Body 4373mm Temp B', 'BF2_BFBD Furnace Body 4373mm Temp C', 'BF2_BFBD Furnace Body 4373mm Temp D', 'BF2_BFBD Furnace Body 4373mm Temp E', 'BF2_BFBD Furnace Body 4373mm Temp F', 'BF2_BFBD Furnace Body 4373mm Temp G', 'BF2_BFBD Furnace Body 5411mm Temp A', 'BF2_BFBD Furnace Body 5411mm Temp B', 'BF2_BFBD Furnace Body 5411mm Temp C', 'BF2_BFBD Furnace Body 5411mm Temp D', 'BF2_BFBD Furnace Body 5411mm Temp E', 'BF2_BFBD Furnace Body 5411mm Temp F', 'BF2_BFBD Furnace Body 5411mm Temp G', 'BF2_BFBD Furnace Body 5411mm Temp H', 'BF2_BFBD Furnace Body 5411mm Temp I', 'BF2_BFBD Furnace Body 5411mm Temp J', 'BF2_BFBD Furnace Body 5411mm Temp K', 'BF2_BFBD Furnace Body 5411mm Temp L', 'BF2_BFBD Furnace Body 5411mm Temp M', 'BF2_BFBD Furnace Body 5757mm Temp A', 'BF2_BFBD Furnace Body 5757mm Temp B', 'BF2_BFBD Furnace Body 5757mm Temp C', 'BF2_BFBD Furnace Body 5757mm Temp D', 'BF2_BFBD Furnace Body 5757mm Temp E', 'BF2_BFBD Furnace Body 5757mm Temp F', 'BF2_BFBD Furnace Body 5757mm Temp G', 'BF2_BFBD Furnace Body 5757mm Temp H', 'BF2_BFBD Furnace Body 5757mm Temp I', 'BF2_BFBD Furnace Body 5757mm Temp J', 'BF2_BFBD Furnace Body 5757mm Temp K', 'BF2_BFBD Furnace Body 5757mm Temp L', 'BF2_BFBD Furnace Body 5757mm Temp M', 'BF2_BFBD Furnace Body 6103mm Temp A', 'BF2_BFBD Furnace Body 6103mm Temp B', 'BF2_BFBD Furnace Body 6103mm Temp C', 'BF2_BFBD Furnace Body 6103mm Temp D', 'BF2_BFBD Furnace Body 6103mm Temp E', 'BF2_BFBD Furnace Body 6103mm Temp F', 'BF2_BFBD Furnace Body 6103mm Temp G', 'BF2_BFBD Furnace Body 6103mm Temp H', 'BF2_BFBD Furnace Body 6103mm Temp I', 'BF2_BFBD Furnace Body 6103mm Temp J', 'BF2_BFBD Furnace Body 6103mm Temp K', 'BF2_BFBD Furnace Body 6103mm Temp L', 'BF2_BFBD Furnace Body 6103mm Temp M', 'BF2_BFBD Furnace Body 6795mm Temp A', 'BF2_BFBD Furnace Body 6795mm Temp B', 'BF2_BFBD Furnace Body 6795mm Temp C', 'BF2_BFBD Furnace Body 6795mm Temp D', 'BF2_BFBD Furnace Body 6795mm Temp E', 'BF2_BFBD Furnace Body 6795mm Temp F', 'BF2_BFBD Furnace Body 6795mm Temp G', 'BF2_BFBD Furnace Body 6795mm Temp H', 'BF2_BFBD Furnace Body 6795mm Temp I', 'BF2_BFBD Furnace Body 6795mm Temp J', 'BF2_BFBD Furnace Body 6795mm Temp K', 'BF2_BFBD Furnace Body 6795mm Temp L', 'BF2_BFBD Furnace Body 7565mm Temp A', 'BF2_BFBD Furnace Body 7565mm Temp B', 'BF2_BFBD Furnace Body 7565mm Temp C', 'BF2_BFBD Furnace Body 7565mm Temp D', 'BF2_BFBD Furnace Body 7565mm Temp E', 'BF2_BFBD Furnace Body 7565mm Temp F', 'BF2_BFBD Furnace Body 7565mm Temp G', 'BF2_BFBD Furnace Body 7565mm Temp H', 'BF2_BFBD Furnace Body 7565mm Temp I', 'BF2_BFBD Furnace Body 7565mm Temp J', 'BF2_BFBD Furnace Body 7565mm Temp K', 'BF2_BFBD Furnace Body 7565mm Temp L', 'BF2_BFBD Furnace Body 7565mm Temp M', 'BF2_BFBD Furnace Body 7565mm Temp N', 'BF2_BFBD Furnace Body 8335mm Temp A', 'BF2_BFBD Furnace Body 8335mm Temp B', 'BF2_BFBD Furnace Body 8335mm Temp C', 'BF2_BFBD Furnace Body 8335mm Temp D', 'BF2_BFBD Furnace Body 8335mm Temp E', 'BF2_BFBD Furnace Body 8335mm Temp F', 'BF2_BFBD Furnace Body 8335mm Temp G', 'BF2_BFBD Furnace Body 8335mm Temp H', 'BF2_BFBD Furnace Body 8335mm Temp I', 'BF2_BFBD Furnace Body 8335mm Temp J', 'BF2_BFBD Furnace Body 8335mm Temp K', 'BF2_BFBD Furnace Body 8335mm Temp L', 'BF2_BFBD Furnace Body 8335mm Temp M', 'BF2_BFBD Furnace Body 8335mm Temp N', 'BF2_BFBD Furnace Body 9105mm Temp A', 'BF2_BFBD Furnace Body 9105mm Temp B', 'BF2_BFBD Furnace Body 9105mm Temp C', 'BF2_BFBD Furnace Body 9105mm Temp D', 'BF2_BFBD Furnace Body 9105mm Temp E', 'BF2_BFBD Furnace Body 9105mm Temp F', 'BF2_BFBD Furnace Body 9105mm Temp G', 'BF2_BFBD Furnace Body 9105mm Temp H', 'BF2_BFBD Furnace Body 9105mm Temp I', 'BF2_BFBD Furnace Body 9105mm Temp J', 'BF2_BFBD Furnace Body 9105mm Temp K', 'BF2_BFBD Furnace Body 9105mm Temp L'] of temperature_variables for 2024-12-14 23:54:29. | transformer.py
[INFO   | transformer           | L29] 2024-12-14T23:54:34+0000: Wrote ['BF2 Coal flow switch No 1', 'BF2 Coal flow switch No 10', 'BF2 Coal flow switch No 11', 'BF2 Coal flow switch No 12', 'BF2 Coal flow switch No 13'] of switch_variables for 2024-12-14 23:54:29. | transformer.py
[INFO   | transformer           | L29] 2024-12-14T23:54:34+0000: Wrote ['BF2 CO in BF Gas(%)', 'BF2 CO2 in BF Gas (%)', 'BF2 H2 in BF Gas (%)', 'BF2 TUYERE VELOCITY', 'BF2_BODY_BOTTOM DP', 'BF2_BODY_ETACO', 'BF2_BODY_PERMEABILITY', 'BF2_BODY_RAFT', 'BF2_BODY_TOP DP', 'BF2_BODY_TOTAL DP', 'BF2_PROC Hot Blast Pressure', 'BF2_PROC Hot Blast Temp', 'BF2_PROC Hot Blast Temp Spare', 'BF2_PROC Hot Blast Volume', 'BF2_PROC Radar Stock Rod Level', 'BF2_PROC Stock Rod 1 Position', 'BF2_PROC Stock Rod 2 Position', 'BF2_PROC Top Pressure 1', 'BF2_PROC Top Pressure 2', 'BF2_PROC Top Pressure 3', 'BF2_PROC Top Pressure 4', 'BF2_PROC Top Pressure Average', 'BF2_PROC Top Temp 1', 'BF2_PROC Top Temp 2', 'BF2_PROC Top Temp 3', 'BF2_PROC Top Temp 4', 'BF2_PROC Top Temp Average'] of process_variables for 2024-12-14 23:54:29. | transformer.py
[INFO   | transformer           | L29] 2024-12-14T23:54:34+0000: Wrote ['Heat load R6 Q1 (Stave No  1-8)', 'Heat load R6 Q2(Stave No  9-16)', 'Heat load R6 Q3(Stave No  17-24)', 'Heat load R6 Q4(Stave No  25-32)'] of heatload_variables for 2024-12-14 23:54:29. | transformer.py
[INFO   | pipeline           | L24] 2024-12-14T23:54:34+0000: Data preprocessing complete. | pipeline.py
[INFO   | pipeline           | L31] 2024-12-14T23:54:34+0000: Starting data write task... | pipeline.py
[INFO   | writer           | L24] 2024-12-14T23:54:34+0000: Called the influxdb client <influxdb_client_3.InfluxDBClient3 object at 0x0000026D0CEB70E0>. | writer.py
[INFO   | pipeline           | L33] 2024-12-14T23:54:35+0000: Data successfully written to InfluxDB. | pipeline.py
[INFO   | pipeline           | L47] 2024-12-14T23:54:35+0000: Data pipeline completed successfully. | pipeline.py
[INFO   | app           | L18] 2024-12-14T23:54:35+0000: Completed | app.py
[INFO   | app           | L22] 2024-12-14T23:54:35+0000: Took 0:00:07.505541 seconds. | app.py
[INFO   | app           | L14] 2024-12-14T23:54:35+0000: Start Time 2024-12-14 23:54:35.166571 | app.py
[INFO   | app           | L16] 2024-12-14T23:54:35+0000: Starting the data pipeline | app.py
[INFO   | pipeline           | L39] 2024-12-14T23:54:35+0000: Starting data pipeline... | pipeline.py
[INFO   | pipeline           | L13] 2024-12-14T23:54:35+0000: Starting download task... | pipeline.py
[INFO   | helper_functions_downloader           | L36] 2024-12-14T23:54:35+0000: No CSV files found to delete. | helper_functions_downloader.py
[INFO   | downloader           | L34] 2024-12-14T23:54:35+0000: Downloading to E:\Personal\MarketResearch\EvonithSteel\Blast Furnace Project\PythonBlastFurnace\evonith_datafeed_job\data | downloader.py
[INFO   | logger           | L11] 2024-12-14T23:54:35+0000: ====== WebDriver manager ====== | logger.py
[INFO   | logger           | L11] 2024-12-14T23:54:35+0000: Get LATEST chromedriver version for google-chrome | logger.py
[INFO   | logger           | L11] 2024-12-14T23:54:35+0000: Get LATEST chromedriver version for google-chrome | logger.py
[INFO   | logger           | L11] 2024-12-14T23:54:35+0000: Driver [C:\Users\sairi\.wdm\drivers\chromedriver\win64\126.0.6478.182\chromedriver-win32/chromedriver.exe] found in cache | logger.py
[INFO   | downloader           | L54] 2024-12-14T23:54:36+0000: Opening webpage... | downloader.py
[INFO   | downloader           | L72] 2024-12-14T23:54:37+0000: Clicking download button... | downloader.py
[INFO   | downloader           | L84] 2024-12-14T23:54:38+0000: File downloaded successfully. | downloader.py
